Subject ID,Song ID,Playing Time,Fixation Count,Fixation Duration,Saccade Length,Saccade Duration,Path Velocity,
08,0,53126,74,310.743243243,146.208146164,418.205479452,1.29407607068,
08,1,83832,149,311.684563758,157.865674647,278.517647059,1.49650950265,
08,2,65848,93,391.247311828,158.11280661,280.873287671,1.31807678801,
08,3,169726,265,343.139622642,141.379870947,300.545454545,1.36096984428,
08,4,33760,68,280.794117647,189.955273433,224.865671642,1.69464463731,
08,5,123104,226,319.548672566,137.933414044,227.048888889,1.35507795173,
09,0,50094,53,329.018867925,224.943919911,706.607142857,1.13282984643,
09,1,97725,117,295.965811966,144.37556208,580.672566372,0.951557202832,
09,2,347961,447,367.608501119,120.863025288,442.744136461,1.41050664064,
09,3,0,1,233.0,0,0,0,
010,0,33706,54,514.481481481,226.152525679,240.62962963,1.87145782457,
010,1,46030,85,384.4,141.012337395,162.151260504,1.65726523269,
010,2,107484,166,429.361445783,119.495084096,221.457446809,1.05963635277,
010,3,75906,151,324.052980132,125.961923879,200.054545455,1.30221685194,
010,4,70746,82,293.62195122,149.066295882,535.147058824,1.0638544463,
010,5,177827,271,320.863468635,127.477327333,344.82962963,1.0220226873,
011,0,37369,50,363.28,160.987699655,437.931034483,0.887853239483,
011,1,47064,87,290.24137931,145.32741,328.214814815,1.26253574822,
011,2,137563,183,400.879781421,159.826987527,364.450549451,1.03669626115,
011,3,102452,168,314.392857143,137.083762731,344.708333333,1.03987505153,
011,4,263527,304,348.411184211,180.161975509,520.915929204,1.02710038053,
011,5,223825,240,374.5,120.563709247,566.016736402,0.880493174519,
012,0,42768,43,470.093023256,268.365864487,585.833333333,1.39743755808,
012,1,47629,71,288.647887324,248.357781145,340.21686747,1.91296593639,
012,2,101853,146,337.273972603,191.794626992,479.487288136,1.43160273504,
012,3,98623,186,310.059139785,295.617265585,325.271698113,4.17499147098,
012,4,428166,447,358.434004474,163.874832731,581.381930185,1.12612969502,
012,5,188718,258,352.437984496,187.739845837,381.280155642,1.97309655268,
013,0,60652,95,356.6,162.854882261,572.088139251,1.29847532372,
013,1,42134,53,316.056603774,162.966771056,571.472697891,1.29920754749,
013,2,86834,141,385.312056738,162.75207477,569.452713397,1.29988749069,
013,3,16121,14,463.642857143,162.826042503,568.522896005,1.30142180115,
013,4,9659,13,300.0,162.811480292,567.745649454,1.30328404351,
013,5,17120,13,233.076923077,162.725514315,569.437094051,1.29983240459,
